name;company;technology;location_city;salary_low;salary_high;salary_currency
Data Engineer;Ramp Network;BigQuery;Warszawa;12000;19000;PLN
Senior Data Engineer;Acaisoft Poland Sp. z.o.o;Python;('Zdalna',);26000;31000;PLN
Big Data Engineering Tech Lead;P2 Recruitment;Python;('Zdalna',);18000;30000;PLN
Remote - Senior Azure Data Engineer;Infosys Consulting;Azure;('Zdalna',);20000;32000;PLN
Databricks Data Engineer with Python;AXA IT Solutions;Python;Warszawa;26880;34440;PLN
Senior Big Data Engineer - Data & AI;Allegro;Scala;Poznań;16100;23200;PLN
Senior Data Engineer (Golang);Bayer Sp. z o.o.;Golang;Warszawa;20000;26000;PLN
Senior Data Engineer (Kafka);Sigma IT Poland;Python;('Zdalna',);23500;28500;PLN
Data Engineer;Roche;Python;Poznań;16000;21000;PLN
Data Engineer with Python;Sigma IT Poland;Python;('Zdalna',);22000;26880;PLN
Data Engineer with Scala;GFT Poland;Scala;('Zdalna',);18480;26880;PLN
Junior/Mid Data Engineer (Biotech);Sigma IT Poland;Python;('Zdalna',);18000;25000;PLN
Data Scientist / Data Engineer;vonRoll Infratec.com;Python;Kraków;20000;26000;PLN
Data Engineer (Allegro Pay);Allegro;N/A;Warszawa;12300;17600;PLN
Senior Performance Engineer;Cribl;JavaScript;('Zdalna',);16666;29166;PLN
Remote Mid/Senior Data Engineer;CSHARK Sp. z o.o.;Python;('Zdalna',);24000;30000;PLN
Software Engineer -Data Platforms;Adform Sp. z o.o.;Scala;Warszawa;17136;25200;PLN
Remote Mid Data Engineer;Operator Chmury Krajowej;SQL;('Zdalna',);10000;14000;PLN
Software Engineer (Big Data);Adform Sp. z o.o.;Scala;Warszawa;17136;25200;PLN
Big Data Engineer;Grid Dynamics;Scala;('Zdalna',);21000;37000;PLN
