name;company;technology;job;location_city;salary_low;salary_high;salary_currency;salary_avg;location_country;is_senior
data analytics analyst, senior associate;State Street;• Python;data analyst;kraków;6916;9000;PLN;7958.0;;1
data analyst;MiKa;;data analyst;not listed;8971;13456;PLN;11213.5;;0
bi manager;Link Group;;data analyst;warszawa;20000;30000;PLN;25000.0;;0
data scientist;Mindbox S.A.;• Google Cloud Platform;data analyst;not listed;25200;31500;PLN;28350.0;;0
senior data analyst - corporate audit;State Street;;data analyst;kraków;12666;17000;PLN;14833.0;;1
senior software quality specialist;IDEMIA;;data analyst;not listed;21000;27720;PLN;24360.0;;1
python developer/tableau data analyst;RITS Professional Services;;data analyst;warszawa;26500;29500;PLN;28000.0;;0
big data analyst;Decathlon Sp. z o.o.;• SQL;data analyst;warszawa;12000;15000;PLN;13500.0;;0
data quality analyst;HL Tech;• SQL;data analyst;not listed;14000;18000;PLN;16000.0;;0
local accounting lead (chief accountant);FieldBee;;data analyst;gliwice;8000;9500;PLN;8750.0;;0
bi analyst - tableau;Avenga;;data analyst;warszawa;15120;21840;PLN;18480.0;;0
cloud solutions architect;Grape Up;• AWS;data analyst;kraków;22100;35700;PLN;28900.0;;0
business system analyst (data&analytics);Elitmind;;data analyst;not listed;15000;21000;PLN;18000.0;;0
data analyst;Hoist Finance AB Oddział w Polsce;;data analyst;wrocław;12000;15000;PLN;13500.0;;0
customer care specialist;Easy Oze sp. z o.o.;;data analyst;olsztyn;4600;5000;PLN;4800.0;;0
technical pre-sales;Grape Up;;data analyst;kraków;22100;35700;PLN;28900.0;;0
junior account payable specialist;DTiQ;;data analyst;not listed;6000;7000;PLN;6500.0;;0
senior data engineer;Acaisoft Poland Sp. z.o.o;• Python;data engineer;not listed;26000;32000;PLN;29000.0;;1
mid-senior data engineer;Acaisoft Poland Sp. z.o.o;• Python;data engineer;not listed;20000;30000;PLN;25000.0;;1
senior software engineer (big data);Adform Sp. z o.o.;• Scala;data engineer;warszawa;24024;35448;PLN;29736.0;;1
spark engineer (data platform);Link Group;• Spark;data engineer;warszawa;30000;35000;PLN;32500.0;;0
senior cloud data engineer;Link Group;• SQL;data engineer;warszawa;30000;35000;PLN;32500.0;;1
gcp data devops engineer;HSBC Technology Poland;• GCP;data engineer;kraków;17000;23000;PLN;20000.0;;0
market data - c/c++ engineer;Corvil;• C;data engineer;kraków;14000;24000;PLN;19000.0;;0
senior data (spark) engineer;Harvey Nash Technology;• Python;data engineer;poznań;28000;38000;PLN;33000.0;;1
data engineer;gravity9;• Azure;data engineer;not listed;31920;38640;PLN;35280.0;;0
big data developer (remote);Dreamlab Technologies AG;• Spark;data engineer;not listed;28177;56355;PLN;42266.0;;0
akademia cloud data engineer;Onwelo S.A.;• Python;data engineer;warszawa;4000;7000;PLN;5500.0;;0
data engineer (microsoft);Onwelo S.A.;;data engineer;not listed;13650;16800;PLN;15225.0;;0
junior cloud data engineer;SEB (Skandinaviska Enskilda Banken);• Python;data engineer;warszawa;15600;24000;PLN;19800.0;;0
senior cloud data engineer;SEB (Skandinaviska Enskilda Banken);• Python;data engineer;warszawa;30000;35000;PLN;32500.0;;1
remote qa engineer (big data);RITS Professional Services;• Python;data engineer;not listed;20160;22680;PLN;21420.0;;0
senior data engineer (python/aws dev.);BPX S.A.;• Python;data engineer;not listed;25200;35280;PLN;30240.0;;1
senior data engineer;Sollers Consulting;;data engineer;warszawa;13700;20000;PLN;16850.0;;1
remote data engineer (hadoop);Capco Poland;• Hadoop;data engineer;not listed;20160;31920;PLN;26040.0;;0
data engineer;Avenga;;data engineer;not listed;23520;25200;PLN;24360.0;;0
big data engineer;Polarys;• Python;data engineer;not listed;18000;28000;PLN;23000.0;;0
databricks engineer;Avanade Poland;• Spark;data engineer;warszawa;16800;26880;PLN;21840.0;;0
data devops engineer;AXA IT Solutions;;data engineer;warszawa;21000;35280;PLN;28140.0;;0
senior data engineer;RemoDevs;• Spark;data engineer;not listed;28737;38316;PLN;33526.5;;1
senior data engineer (python);ASTEK Polska;• Python;data engineer;not listed;25200;29400;PLN;27300.0;;1
software development engineer ii - data;Tesco Technology;• Hadoop;data engineer;kraków;20000;30000;PLN;25000.0;;0
software development engineer iii – data;Tesco Technology;• Hadoop;data engineer;kraków;26000;40000;PLN;33000.0;;0
software dev engineer iii - data;Tesco Technology;• Scala;data engineer;kraków;26000;40000;PLN;33000.0;;0
starszy programista baz danych;Qualent Sp.zo.o.Sp.k.;• SQL;data engineer;not listed;19950;28350;PLN;24150.0;;0
software engineer (scala) - data&ai;Allegro;• Scala;data engineer;poznań;12300;17600;PLN;14950.0;;0
senior software engineer (scala)-data&ai;Allegro;• Scala;data engineer;poznań;16100;23200;PLN;19650.0;;1
remote senior data engineer (spark);Onwelo S.A.;• Spark;data engineer;not listed;21000;27300;PLN;24150.0;;1
data engineer;Unit8 SA;;data engineer;kraków;22000;26000;PLN;24000.0;;0
junior/mid data engineer (biotech);Sigma IT Poland;• Python;data engineer;not listed;18000;25000;PLN;21500.0;;0
big data engineer;Team Connect;• Spark;data engineer;not listed;23500;28600;PLN;26050.0;;0
data engineer;hubQuest;• Python;data engineer;not listed;20000;28500;PLN;24250.0;;0
remote azure data engineer;Link Group;• Azure;data engineer;not listed;28560;36960;PLN;32760.0;;0
data engineer team lead;GR8 Tech;• AWS;data engineer;not listed;13456;26913;PLN;20184.5;;0
remote data engineer;Gett;;data engineer;not listed;22428;26913;PLN;24670.5;;0
software engineer - data platforms;Adform Sp. z o.o.;• Scala;data engineer;warszawa;17136;25200;PLN;21168.0;;0
data scientist / data engineer;vonRoll Infratec.com;• Python;data engineer;kraków;20000;26000;PLN;23000.0;;0
junior data engineer;Ramp Network;• GitHub;data engineer;warszawa;7000;9000;PLN;8000.0;;0
data engineer;Ramp Network;• BigQuery;data engineer;warszawa;12000;19000;PLN;15500.0;;0
remote mid data engineer;Operator Chmury Krajowej;• SQL;data engineer;not listed;10000;14000;PLN;12000.0;;0
remote senior data engineer (aws);Onwelo S.A.;• AWS;data engineer;not listed;23100;27300;PLN;25200.0;;1
mid data engineer;Acaisoft Poland Sp. z.o.o;• Python;data engineer;not listed;20000;25000;PLN;22500.0;;0
devops data automation engineer/architec;Fujitsu Technology Solutions Sp. z o.o.;• Python;data engineer;not listed;25200;33600;PLN;29400.0;;0
lead big data engineer (python+azure);SoftServe;• Python;data engineer;not listed;22000;35000;PLN;28500.0;;0
staff analytics engineer - data modeler;GetInData | Part of Xebia;• SQL;data engineer;not listed;30240;35280;PLN;32760.0;;0
data engineer;Nordcloud;• Azure;data engineer;not listed;20000;32000;PLN;26000.0;;0
